1,367,18,000000367.bmp
1,547,19,000001547.bmp
1,727,19,000002727.bmp
1,907,18,000003907.bmp
1,1091,18,0000041091.bmp
1,1271,18,0000051271.bmp
1,1451,18,0000061451.bmp
0,1640,9,0000071640.bmp
0,1860,7,0000081860.bmp
1,2151,21,0000092151.bmp
1,2432,20,0000102432.bmp
0,2672,11,0000112672.bmp
0,2912,0,0000122912.bmp
0,3140,0,0000133140.bmp
0,3344,0,0000143344.bmp
0,3524,0,0000153524.bmp
0,3704,0,0000163704.bmp
0,3892,0,0000173892.bmp
0,4112,0,0000184112.bmp
0,4373,0,0000194373.bmp
0,4620,0,0000204620.bmp
0,4811,0,0000214811.bmp
0,5011,0,0000225011.bmp
0,5240,0,0000235240.bmp
0,5532,14,0000245532.bmp
1,5832,94,0000255832.bmp
1,6132,118,0000266132.bmp
1,6433,121,0000276433.bmp
1,6733,111,0000286733.bmp
1,7033,108,0000297033.bmp
1,7334,99,0000307334.bmp
1,7634,113,0000317634.bmp
1,7934,99,0000327934.bmp
0,8234,0,0000338234.bmp
0,8534,0,0000348534.bmp
0,8835,0,0000358835.bmp
0,9096,0,0000369096.bmp
0,9287,0,0000379287.bmp
0,9467,0,0000389467.bmp
0,9647,0,0000399647.bmp
0,9836,0,0000409836.bmp
0,10016,0,00004110016.bmp
0,10196,0,00004210196.bmp
0,10369,0,00004310369.bmp
0,10549,0,00004410549.bmp
0,10729,0,00004510729.bmp
0,10909,0,00004610909.bmp
0,11093,0,00004711093.bmp
0,11273,0,00004811273.bmp
0,11454,0,00004911454.bmp
0,11633,0,00005011633.bmp
0,11813,0,00005111813.bmp
